Alimiento;Medida casera;Cantidad (g-ml);HC (g);Prot. (g);Grasa (g);Na (mg);K (mg);P (mg);Ca (mg);Fe (mg);Colest (mg);Purinas (mg);Fibra (g);Agua (g);Calorías
Zanahoria rallada;1 taza (té);80 g;7.1;0.6;0.3;24.8;328;20.8;27.2;0.7;;18.4;0.6;71.2;33.5
Zapallito redondo;1 pequeño;100 g;3.5;0.8;0.1;2;218;14.0;18.0;2.3;-;6.0;0.4;95.0;18.1
Zapallito redondo;1 mediano;150 g;5.3;1.2;0.2;3;327;21.0;27.0;3.5;;9.0;0.6;142.5;27.8
Zapallito redondo;1 grande;250 g;8.8;2;0.3;5;545;35.0;45.0;5.8;-;15.0;1;237.5;45.9
Zapallo;½ taza;80 g;6.4;1.4;0.2;1.6;324;19.2;25.6;1.8;-;4.8;0.7;71.2;32.5
Zuchini;1 taza (té);100 g;3.5;0.8;0.1;95;14;14.0;18.0;2.3;-;6.0;0.4;95.0;18.1
VEGETALES C;;;0;0;0;0;0;;;;;;0;;0
Choclo enlatado;1 cucharada;20 g;3;0.4;0.1;62.7;41.8;14.0;0.6;0.1;-;7.4;0.1;16.4;14.5
Choclo natural;1 cucharada;20 g;4.4;0.8;0.2;0.2;74;0.4;1.6;0.2;-;7.4;0.2;14.6;22.6
Papa;1 pequeña;100 g;17.9;1.8;0.1;1;410;40.0;6.0;0.8;-;5.0;0.4;79.0;79.7
Papa;1 mediana;200 g;35.8;3.6;0.2;2;820;80.0;12.0;1.6;-;10.0;0.8;158.0;159.4
Papa;1 grande;300 g;53.7;5.4;0.3;3;1230;120.0;18.0;2.4;-;15.0;1.2;237.0;239.1
FRUTAS A;;;0;0;0;0;0;;;;;;0;;0
Frutilla;1 taza (té);100 g;8.5;0.8;0.3;1;180;29.8;29.0;1.0;-;12.0;1.3;90.0;39.9
Limón (jugo puro);1 cucharada;5 ml;0.4;0;0;0.1;6.5;0.8;2.0;0.0;-;0.0;0;4.5;2
Mandarina;1 grande;150 g;16.4;1.1;0.3;3;165;24.0;45.0;0.6;-;0.0;0.6;132.0;72.7
Melón;1 rodaja;100 g;6.2;0.5;0.1;12;230;15.0;15.0;1.2;-;0.0;0.5;93.0;27.7
Naranja;1 pequeña;100 g;10.5;0.8;0.2;1;170;20.0;34.0;0.7;-;0.0;0.4;88.0;47
Naranja;1 mediana;150 g;15.8;1.2;0.3;1.5;255;30.0;51.0;1.5;-;0.0;0.6;132.0;70.7
Naranja;1 grande;200 g;21;1.6;0.4;2;340;40.0;68.0;1.4;-;0.0;0.8;176.0;94
Naranja (jugo puro);1 vaso;250 ml;26.3;2;0.5;2.5;410;40.0;85.0;0.8;-;0.0;1;218.0;117.7
Pomelo;1 grande;190 g;18.2;1.1;0.4;1.9;380;39.9;34.2;10.0;;0.0;0.4;169.1;80.8
Pomelo (jugo puro);1 grande;180 ml;16.2;1.1;0.4;1.8;360;37.8;32.4;0.9;-;0.0;0.4;160.2;72.8
FRUTAS B;;;0;0;0;0;0;;;;;;0;;0
Ciruela;1 chica;60 g;7.1;0.4;0.1;0.7;136.5;9.8;4.8;0.3;-;0.0;0.2;56.5;30.9
Ciruela;1 mediana;85 g;10.1;0.5;0.2;0.9;178.5;12.7;6.8;0.3;-;0.0;0.3;73.9;44.2
Durazno enlatado;2 mitades;110 g;22.1;0.4;0.1;0.22;14.3;13.2;4.0;0.3;-;0.0;0.18;86.9;90.9
Durazno natural;1 unidad;110 g;14.6;0.9;0.2;0.11;17.6;28.6;13.2;1.2;-;0.0;0.1;93.5;63.8
Mamón;½ chico;150 g;29.9;1.7;0.3;1.07;-;30.0;18.0;0.9;-;0.0;0.21;117.0;129.1
Manzana;1 pequeña;140 g;21.3;0.4;0.4;0.14;10.64;14.0;8.4;0.6;-;4.2;0.1;117.6;90.4
Manzana;1 mediana;170 g;25.8;0.5;0.5;0.17;12.92;17.0;10.2;0.7;-;5.1;0.12;142.8;109.7
Manzana;1 grande;200 g;30.4;0.6;0.6;0.2;15.2;20.0;12.0;0.8;-;6.0;0.14;168.0;129.4
Pera;1 pequeña;150 g;20.7;0.4;0.3;0.28;14;14.0;9.0;0.7;-;3.0;0.29;117.6;87.1
Pera;1 mediana;180.0;26.6;0.5;0.4;0.36;18;18.5;11.0;0.9;-;3.6;0.31;151.2;112
Pera;1 grande;200 g;29.6;0.6;0.4;0.4;20;20.6;12.0;1.0;-;4.0;0.34;168.0;124.4
Piña;1 rodaja;100 g;13.7;0.4;0.2;0.1;21;8.0;18.0;0.5;-;0.0;0.04;85.0;58.2
FRUTAS C;;;0;0;0;;;;;;;;;;0
Banana;1 chica;50 g;11.9;0.6;0.1;0.05;21;14.0;5.0;0.4;-;0.0;0.03;3.7;50.9
Banana;1 mediana;70 g;16.6;0.8;0.1;0.07;29.4;19.6;7.0;0.6;-;0.0;0.04;51.8;70.5
FRUTOS SECOS;;;0;0;0;;;;;;;;;;0
Almendras;1 cucharada;10 g;2;1.9;5.4;0.03;0.69;4.8;25.4;0.4;-;3.0;0.03;0.5;64.2
Maní molido;1 cucharada;10 g;1.8;2.7;4.7;0.05;0.68;4.7;4.6;0.3;-;9.0;0.02;0.6;60.3
CEREALES;;;0;0;0;;;;;;;;;;0
Almidón de mandioca;1 cucharada;10 g;8.1;0.2;0.1;0.04;0.22;10.4;-;0.5;-;0.0;0.02;1.4;33.7
Arroz pulido;1 cucharada;15 g;12.1;1;0.1;0.08;1.38;14.1;3.6;0.1;-;0.0;0.01;1.8;53.3
